提案ID,テスト区分,根拠カテゴリ,根拠ID,差分概要,テスト軸,入力値,期待確認内容,備考
P-001,情報,-,-,SF固定値確認,省庁区分,（自動選択）,省庁区分はテストケースの列に含めない,SF固定値→1専用JSON。UIに省庁選択画面は表示されない
P-002,差分,代価表,代価表:6,代価表「TankaCD:32-2-103-33-3663」追加,任意,任意,代価表「TankaCD:32-2-103-33-3663」が1行で表示されること（目視確認）,新規代価表の表示確認
P-003,差分,代価表,代価表:7,代価表「TankaCD:32-2-101-32-14」追加,任意,任意,代価表「TankaCD:32-2-101-32-14」が1行で表示されること（目視確認）,新規代価表の表示確認
P-004,差分,代価表,代価表:8,代価表「諸雑費」追加,任意,任意,代価表「諸雑費」が1行で表示されること（目視確認）,新規代価表の表示確認
P-005,差分,計算表,計算表変数:2,計算表変数「S1」変更,任意,任意,「S1」を含む計算結果が正しいこと,計算式: S3A*S3T*BHK→S1A*3*UT
P-006,差分,計算表,計算表変数:3,計算表変数「S1A」変更,任意,任意,「S1A」を含む計算結果が正しいこと,計算式→固定値: →1.0
P-007,差分,計算表,計算表変数:4,計算表変数「S2」変更,任意,任意,「S2」を含む計算結果が正しいこと,計算式: →S2A*UT
P-008,差分,計算表,計算表変数:5,計算表変数「S2A」変更,任意,任意,「S2A」を含む計算結果が正しいこと,計算式→固定値: S4A*S4T*BHK→0.3
P-009,差分,計算表,計算表変数:6,計算表変数「S3」変更,任意,任意,「S3」を含む計算結果が正しいこと,計算式: →S3A*S3T*BHK
P-010,差分,計算表,計算表変数:8,計算表変数「S3T」変更,任意,任意,「S3T」を含む計算結果が正しいこと,計算式: S5A*S5T*BHK→
P-011,差分,計算表,計算表変数:9,計算表変数「S4」変更,任意,任意,「S4」を含む計算結果が正しいこと,計算式: →S4A*S4T*BHK
P-012,差分,計算表,計算表変数:12,計算表変数「S5」変更,任意,任意,「S5」を含む計算結果が正しいこと,計算式: →S5A*S5T*BHK
P-013,差分,計算表,計算表変数:15,計算表変数「S6」変更,任意,任意,「S6」を含む計算結果が正しいこと,固定値: 1.0→3.0
P-014,差分,計算表,計算表変数:18,計算表変数「BHK」変更,任意,任意,「BHK」を含む計算結果が正しいこと,固定値→計算式: 1.0→
P-015,差分,計算表,計算表変数:19,計算表変数「CD:19」追加,任意,任意,「CD:19」を使う計算結果が正しいこと,新規変数: 
P-016,差分,計算表,計算表変数:20,計算表変数「<内部変数>」追加,任意,任意,「<内部変数>」を使う計算結果が正しいこと,新規変数: 
P-017,差分,計算表,計算表変数:21,計算表変数「DK」追加,任意,任意,「DK」を使う計算結果が正しいこと,新規変数: 
